tick=0 kind=sim_start node=- payload=seed:99,nodes:1,2,3
tick=0 kind=tick_start node=- payload=-
tick=0 kind=node_step node=1 payload=-
tick=0 kind=echo node=1 payload=hex:0da2e4bd5e7d6eb7
tick=0 kind=node_step node=2 payload=-
tick=0 kind=echo node=2 payload=hex:289829844342f029
tick=0 kind=node_step node=3 payload=-
tick=0 kind=echo node=3 payload=hex:1e5acbe4adeba2be
tick=0 kind=tick_end node=- payload=-
tick=1 kind=tick_start node=- payload=-
tick=1 kind=node_step node=1 payload=-
tick=1 kind=echo node=1 payload=hex:e2cb886db3f623bd
tick=1 kind=node_step node=2 payload=-
tick=1 kind=echo node=2 payload=hex:1ec40f9a18230a24
tick=1 kind=node_step node=3 payload=-
tick=1 kind=echo node=3 payload=hex:6958fa6cb34e9fed
tick=1 kind=tick_end node=- payload=-
